id,label,id_label,color
1,CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,#6be01d
2,CLA-EPd-CTX Car3 Glut_1,0002 CLA-EPd-CTX Car3 Glut_1,#f46d6b
3,CLA-EPd-CTX Car3 Glut_1,0003 CLA-EPd-CTX Car3 Glut_1,#7340b2
4,CLA-EPd-CTX Car3 Glut_1,0004 CLA-EPd-CTX Car3 Glut_1,#a010cc
5,CLA-EPd-CTX Car3 Glut_2,0005 CLA-EPd-CTX Car3 Glut_2,#db04c2
6,IT EP-CLA Glut_1,0006 IT EP-CLA Glut_1,#17979e
7,IT EP-CLA Glut_1,0007 IT EP-CLA Glut_1,#e05033
8,IT EP-CLA Glut_1,0008 IT EP-CLA Glut_1,#1dad3a
9,IT EP-CLA Glut_1,0009 IT EP-CLA Glut_1,#0f5e8e
10,IT EP-CLA Glut_1,0010 IT EP-CLA Glut_1,#2b1172
11,IT EP-CLA Glut_1,0011 IT EP-CLA Glut_1,#9429db
12,IT EP-CLA Glut_1,0012 IT EP-CLA Glut_1,#531299
13,IT EP-CLA Glut_2,0013 IT EP-CLA Glut_2,#0c7f2f
14,IT EP-CLA Glut_2,0014 IT EP-CLA Glut_2,#16bf65
15,IT EP-CLA Glut_2,0015 IT EP-CLA Glut_2,#a5264a
16,IT EP-CLA Glut_2,0016 IT EP-CLA Glut_2,#2ffc3a
17,IT EP-CLA Glut_2,0017 IT EP-CLA Glut_2,#e08860
18,IT EP-CLA Glut_3,0018 IT EP-CLA Glut_3,#c14757
19,IT EP-CLA Glut_3,0019 IT EP-CLA Glut_3,#c41782
20,IT EP-CLA Glut_3,0020 IT EP-CLA Glut_3,#4ffff0
21,IT EP-CLA Glut_4,0021 IT EP-CLA Glut_4,#4f63e2
22,IT EP-CLA Glut_4,0022 IT EP-CLA Glut_4,#2cb26d
23,L5/6 IT TPE-ENT Glut_1,0023 L5/6 IT TPE-ENT Glut_1,#2d42b7
